metadata,start_timestamp,lat,lon,count,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic,month_dt
Clarence Square Park,Jul-21,43.64418139,-79.39371522,7,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-07-01
Dufferin Grove Park,Jul-21,43.65699352,-79.4336308,15,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-07-01
G. Ross Lord Park,Jul-21,43.78030615,-79.46585598,2,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-07-01
Garrison Common,Jul-21,43.63806493,-79.40717673,3,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-07-01
Grange Park,Jul-21,43.65261301,-79.39221132,5,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-07-01
Kings Mill Park,Jul-21,43.65135346,-79.49062927,1,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-07-01
Lakeshore Boulevard Parklands,Jul-21,43.63395209,-79.43869438,6,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-07-01
Lamport Stadium Park,Jul-21,43.63977468,-79.42245532,17,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-07-01
Lower Don Parklands,Jul-21,43.69741478,-79.35386848,10,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-07-01
Morningside Park,Jul-21,43.78090037,-79.19730417,2,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-07-01
Moss Park,Jul-21,43.65558614,-79.37043073,30,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-07-01
Nordheimer Ravine,Jul-21,43.68179447,-79.4101068,6,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-07-01
Orphan's Green,Jul-21,43.65465987,-79.3627258,4,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-07-01
Parkdale Ampitheatre,Jul-21,43.64235304,-79.42916125,2,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-07-01
Randy Padmore Park,Jul-21,43.6497993,-79.40084238,3,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-07-01
Rosedale Ravine Lands,Jul-21,43.67272549,-79.37625428,9,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-07-01
Sonya's Park,Jul-21,43.65602246,-79.40202754,1,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-07-01
Tommy Thompson Park,Jul-21,43.6512055,-79.32159,1,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-07-01
Trinity Bellwoods Park,Jul-21,43.64592207,-79.41417386,0,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-07-01
Trinity Square,Jul-21,43.65472242,-79.38160967,6,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-07-01
Alexandra Park,Aug-21,43.65114655,-79.40510438,0,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-08-01
Allan Gardens,Aug-21,43.66093307,-79.3735941,11,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-08-01
Bellevue Square Park,Aug-21,43.65371478,-79.40192832,3,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-08-01
Caledonia Park,Aug-21,43.71337581,-79.46549418,5,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-08-01
Cherry Beach Clarke Beach Park,Aug-21,43.63692099,-79.3443083,9,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-08-01
Clarence Square Park,Aug-21,43.64418139,-79.39371522,4,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-08-01
Dufferin Grove Park,Aug-21,43.65699352,-79.4336308,22,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-08-01
G. Ross Lord Park,Aug-21,43.78030615,-79.46585598,2,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-08-01
Garrison Common,Aug-21,43.63806493,-79.40717673,10,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-08-01
Grange Park,Aug-21,43.65261301,-79.39221132,7,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-08-01
Kings Mill Park,Aug-21,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-08-01
Lakeshore Boulevard Parklands,Aug-21,43.63395209,-79.43869438,6,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-08-01
Lamport Stadium Park,Aug-21,43.63977468,-79.42245532,0,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-08-01
Lower Don Parklands,Aug-21,43.69741478,-79.35386848,10,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-08-01
Morningside Park,Aug-21,43.78090037,-79.19730417,2,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-08-01
Moss Park,Aug-21,43.65558614,-79.37043073,25,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-08-01
Nordheimer Ravine,Aug-21,43.68179447,-79.4101068,6,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-08-01
Orphan's Green,Aug-21,43.65465987,-79.3627258,4,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-08-01
Parkdale Ampitheatre,Aug-21,43.64235304,-79.42916125,3,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-08-01
Randy Padmore Park,Aug-21,43.6497993,-79.40084238,18,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-08-01
Rosedale Ravine Lands,Aug-21,43.67272549,-79.37625428,8,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-08-01
Sonya's Park,Aug-21,43.65602246,-79.40202754,3,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-08-01
Tommy Thompson Park,Aug-21,43.6512055,-79.32159,0,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-08-01
Trinity Bellwoods Park,Aug-21,43.64592207,-79.41417386,0,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-08-01
Trinity Square,Aug-21,43.65472242,-79.38160967,2,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-08-01
Alexandra Park,Sep-21,43.65114655,-79.40510438,0,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-09-01
Allan Gardens,Sep-21,43.66093307,-79.3735941,8,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-09-01
Bellevue Square Park,Sep-21,43.65371478,-79.40192832,9,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-09-01
Caledonia Park,Sep-21,43.71337581,-79.46549418,4,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-09-01
Cherry Beach Clarke Beach Park,Sep-21,43.63692099,-79.3443083,9,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-09-01
Clarence Square Park,Sep-21,43.64418139,-79.39371522,2,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-09-01
Dufferin Grove Park,Sep-21,43.65699352,-79.4336308,30,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-09-01
G. Ross Lord Park,Sep-21,43.78030615,-79.46585598,2,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-09-01
Garrison Common,Sep-21,43.63806493,-79.40717673,4,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-09-01
Grange Park,Sep-21,43.65261301,-79.39221132,8,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-09-01
Kings Mill Park,Sep-21,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-09-01
Lakeshore Boulevard Parklands,Sep-21,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-09-01
Lamport Stadium Park,Sep-21,43.63977468,-79.42245532,0,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-09-01
Lower Don Parklands,Sep-21,43.69741478,-79.35386848,10,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-09-01
Morningside Park,Sep-21,43.78090037,-79.19730417,2,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-09-01
Moss Park,Sep-21,43.65558614,-79.37043073,14,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-09-01
Nordheimer Ravine,Sep-21,43.68179447,-79.4101068,6,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-09-01
Orphan's Green,Sep-21,43.65465987,-79.3627258,3,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-09-01
Parkdale Ampitheatre,Sep-21,43.64235304,-79.42916125,2,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-09-01
Randy Padmore Park,Sep-21,43.6497993,-79.40084238,18,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-09-01
Rosedale Ravine Lands,Sep-21,43.67272549,-79.37625428,8,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-09-01
Sonya's Park,Sep-21,43.65602246,-79.40202754,5,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-09-01
Tommy Thompson Park,Sep-21,43.6512055,-79.32159,1,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-09-01
Trinity Bellwoods Park,Sep-21,43.64592207,-79.41417386,0,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-09-01
Trinity Square,Sep-21,43.65472242,-79.38160967,0,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-09-01
Alexandra Park,Oct-21,43.65114655,-79.40510438,0,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-10-01
Allan Gardens,Oct-21,43.66093307,-79.3735941,15,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-10-01
Bellevue Square Park,Oct-21,43.65371478,-79.40192832,12,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-10-01
Caledonia Park,Oct-21,43.71337581,-79.46549418,4,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-10-01
Cherry Beach Clarke Beach Park,Oct-21,43.63692099,-79.3443083,8,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-10-01
Clarence Square Park,Oct-21,43.64418139,-79.39371522,2,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-10-01
Dufferin Grove Park,Oct-21,43.65699352,-79.4336308,24,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-10-01
G. Ross Lord Park,Oct-21,43.78030615,-79.46585598,1,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-10-01
Garrison Common,Oct-21,43.63806493,-79.40717673,3,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-10-01
Grange Park,Oct-21,43.65261301,-79.39221132,7,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-10-01
Kings Mill Park,Oct-21,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-10-01
Lakeshore Boulevard Parklands,Oct-21,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-10-01
Lamport Stadium Park,Oct-21,43.63977468,-79.42245532,0,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-10-01
Lower Don Parklands,Oct-21,43.69741478,-79.35386848,10,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-10-01
Morningside Park,Oct-21,43.78090037,-79.19730417,3,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-10-01
Moss Park,Oct-21,43.65558614,-79.37043073,12,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-10-01
Nordheimer Ravine,Oct-21,43.68179447,-79.4101068,4,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-10-01
Orphan's Green,Oct-21,43.65465987,-79.3627258,2,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-10-01
Parkdale Ampitheatre,Oct-21,43.64235304,-79.42916125,0,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-10-01
Randy Padmore Park,Oct-21,43.6497993,-79.40084238,17,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-10-01
Rosedale Ravine Lands,Oct-21,43.67272549,-79.37625428,15,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-10-01
Sonya's Park,Oct-21,43.65602246,-79.40202754,7,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-10-01
Tommy Thompson Park,Oct-21,43.6512055,-79.32159,3,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-10-01
Trinity Bellwoods Park,Oct-21,43.64592207,-79.41417386,0,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-10-01
Trinity Square,Oct-21,43.65472242,-79.38160967,1,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-10-01
Alexandra Park,Nov-21,43.65114655,-79.40510438,0,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-11-01
Allan Gardens,Nov-21,43.66093307,-79.3735941,19,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-11-01
Bellevue Square Park,Nov-21,43.65371478,-79.40192832,6,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-11-01
Caledonia Park,Nov-21,43.71337581,-79.46549418,5,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-11-01
Cherry Beach Clarke Beach Park,Nov-21,43.63692099,-79.3443083,5,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-11-01
Clarence Square Park,Nov-21,43.64418139,-79.39371522,2,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-11-01
Dufferin Grove Park,Nov-21,43.65699352,-79.4336308,11,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-11-01
G. Ross Lord Park,Nov-21,43.78030615,-79.46585598,1,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-11-01
Garrison Common,Nov-21,43.63806493,-79.40717673,3,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-11-01
Grange Park,Nov-21,43.65261301,-79.39221132,6,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-11-01
Kings Mill Park,Nov-21,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-11-01
Lakeshore Boulevard Parklands,Nov-21,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-11-01
Lamport Stadium Park,Nov-21,43.63977468,-79.42245532,0,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-11-01
Lower Don Parklands,Nov-21,43.69741478,-79.35386848,10,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-11-01
Morningside Park,Nov-21,43.78090037,-79.19730417,7,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-11-01
Moss Park,Nov-21,43.65558614,-79.37043073,6,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-11-01
Nordheimer Ravine,Nov-21,43.68179447,-79.4101068,3,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-11-01
Orphan's Green,Nov-21,43.65465987,-79.3627258,2,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-11-01
Parkdale Ampitheatre,Nov-21,43.64235304,-79.42916125,0,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-11-01
Randy Padmore Park,Nov-21,43.6497993,-79.40084238,20,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-11-01
Rosedale Ravine Lands,Nov-21,43.67272549,-79.37625428,14,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-11-01
Sonya's Park,Nov-21,43.65602246,-79.40202754,8,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-11-01
Tommy Thompson Park,Nov-21,43.6512055,-79.32159,3,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-11-01
Trinity Bellwoods Park,Nov-21,43.64592207,-79.41417386,0,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-11-01
Trinity Square,Nov-21,43.65472242,-79.38160967,0,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-11-01
Alexandra Park,Dec-21,43.65114655,-79.40510438,0,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-12-01
Allan Gardens,Dec-21,43.66093307,-79.3735941,18,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-12-01
Bellevue Square Park,Dec-21,43.65371478,-79.40192832,3,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-12-01
Caledonia Park,Dec-21,43.71337581,-79.46549418,2,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-12-01
Cherry Beach Clarke Beach Park,Dec-21,43.63692099,-79.3443083,4,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-12-01
Clarence Square Park,Dec-21,43.64418139,-79.39371522,3,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-12-01
Dufferin Grove Park,Dec-21,43.65699352,-79.4336308,3,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-12-01
G. Ross Lord Park,Dec-21,43.78030615,-79.46585598,1,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-12-01
Garrison Common,Dec-21,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-12-01
Grange Park,Dec-21,43.65261301,-79.39221132,8,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-12-01
Kings Mill Park,Dec-21,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-12-01
Lakeshore Boulevard Parklands,Dec-21,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-12-01
Lamport Stadium Park,Dec-21,43.63977468,-79.42245532,0,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-12-01
Lower Don Parklands,Dec-21,43.69741478,-79.35386848,10,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-12-01
Morningside Park,Dec-21,43.78090037,-79.19730417,7,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-12-01
Moss Park,Dec-21,43.65558614,-79.37043073,1,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-12-01
Nordheimer Ravine,Dec-21,43.68179447,-79.4101068,1,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-12-01
Orphan's Green,Dec-21,43.65465987,-79.3627258,2,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-12-01
Parkdale Ampitheatre,Dec-21,43.64235304,-79.42916125,0,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-12-01
Randy Padmore Park,Dec-21,43.6497993,-79.40084238,9,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-12-01
Rosedale Ravine Lands,Dec-21,43.67272549,-79.37625428,9,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-12-01
Sonya's Park,Dec-21,43.65602246,-79.40202754,6,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-12-01
Tommy Thompson Park,Dec-21,43.6512055,-79.32159,3,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-12-01
Trinity Bellwoods Park,Dec-21,43.64592207,-79.41417386,0,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-12-01
Trinity Square,Dec-21,43.65472242,-79.38160967,2,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-12-01
Allan Gardens,Jan-22,43.66093307,-79.3735941,11,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2022-01-01
Charles Sauriol Conservation Area,Jan-22,43.72881139,-79.32116014,1,48,9,749,24,22,2,1,35,1,1,11,1,1,2,0,1,2,8,1,0,0,0,0,2022-01-01
Cherry Beach Clarke Beach Park,Jan-22,43.63692099,-79.3443083,3,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2022-01-01
Clarence Square Park,Jan-22,43.64418139,-79.39371522,4,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2022-01-01
Downsview Park and Lawn Bowling Greens,Jan-22,43.71931001,-79.51254444,0,55,6,665,31,18,0,3,43,8,0,5,2,1,2,0,2,2,2,0,0,0,0,0,2022-01-01
E.T. Seton Park,Jan-22,43.70457547,-79.34127867,0,97,12,876,41,26,5,13,86,11,14,17,3,4,5,2,4,5,15,1,1,0,0,0,2022-01-01
Garrison Common,Jan-22,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2022-01-01
Grange Park,Jan-22,43.65261301,-79.39221132,8,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2022-01-01
High Park,Jan-22,43.64651218,-79.46393972,0,132,12,846,59,21,7,35,97,7,9,4,7,3,7,3,4,4,13,2,0,0,0,0,2022-01-01
Kings Mill Park,Jan-22,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2022-01-01
Lakeshore Boulevard Parklands,Jan-22,43.63395209,-79.43869438,1,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2022-01-01
Lavender Creek Trail,Jan-22,43.67434988,-79.47987059,0,102,12,927,52,25,6,10,82,4,9,8,7,1,3,3,2,3,11,1,0,0,0,1,2022-01-01
Lower Don Parklands,Jan-22,43.69741478,-79.35386848,7,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2022-01-01
Martin Goodman Trail,Jan-22,43.6580416,-79.3314175,0,132,12,682,55,25,12,54,118,15,16,21,8,6,6,27,4,2,21,2,0,1,0,0,2022-01-01
Morningside Park,Jan-22,43.78090037,-79.19730417,7,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2022-01-01
Nordheimer Ravine,Jan-22,43.68179447,-79.4101068,1,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2022-01-01
Riverdale Park East,Jan-22,43.67094057,-79.35433043,1,160,17,1035,64,32,12,88,196,31,39,38,10,9,8,40,13,5,21,3,0,1,0,0,2022-01-01
