locationTypeCode,locationName,address,lat,lon
COOL_LOCN,"Stop: Community Food Centre, The","1884 Davenport Rd, Rear Entrance  Toronto  ON  M6N 4Y2",43.670859,-79.45382
COOL_LOCN,Cummer Park Community Centre,6000 LESLIE ST,43.800122,-79.371256
COOL_LOCN,Fenside Park,30 SLIDELL CRES,43.76484123,-79.32742261
COOL_LOCN,Syme Woolner Neighbourhood & Family Centre,2468 Eglinton Ave W  Toronto  ON  M6M 5E2,43.691929,-79.468411
COOL_LOCN,Dieppe Park,455 COSBURN AVE,43.691962,-79.335642
COOL_LOCN,Fairbank Memorial Park,2213 DUFFERIN ST,43.6915952,-79.4478255
COOL_LOCN,Toronto Council Fire Native Cultural Centre,439 Dundas St E  Toronto  ON  M5A 2B1,43.65928,-79.366308
COOL_LOCN,Budapest Park,1575 LAKE SHORE BLVD,43.63680757,-79.44956381
COOL_LOCN,Smythe Park,61 BLACK CREEK BLVD,43.675065,-79.497846
COOL_LOCN,Earl Bales Park,4169 BATHURST ST,43.75259405,-79.43131971
COOL_LOCN,McGregor Park Community Centre,2231 LAWRENCE AVE,43.747537,-79.28008
COOL_LOCN,Weston King Neighbourhood Centre,2017 Weston Rd  Toronto  ON  M9N 1X2,43.701372,-79.520101
COOL_LOCN,Birchmount Community Centre,93 BIRCHMOUNT RD,43.69531,-79.261565
COOL_LOCN,Spenvalley Park,130 SPENVALLEY DR,43.74433903,-79.50649183
COOL_LOCN,Wychwood Open Door,"729 St. Clair Ave W, Bsmt  Toronto  ON  M6C 1B2",43.681239,-79.427246
COOL_LOCN,Macgregor Playground,346 LANSDOWNE AVE,43.65310911,-79.44230718
COOL_LOCN,Weston Lions Park,2125 LAWRENCE AVE,43.69789026,-79.51773465
COOL_LOCN,YMCA of Greater Toronto,7 Vanauley St  Toronto  ON  M5T 2V9,43.648869,-79.398283
COOL_LOCN,Joseph J. Piccininni Community Centre,1369 ST CLAIR AVE,43.675288,-79.451574
COOL_LOCN,Warden Woods Community Centre,"40 Teesdale Pl, Gr Fl  Toronto  ON  M1L 1L3",43.6972002,-79.2866467
COOL_LOCN,Agincourt Community Services Association (ACSA),202 Markham Rd  Toronto  ON  M1J 3C2,43.743773,-79.219741
COOL_LOCN,Stan Wadlow Park,888 COSBURN AVE,43.69831218,-79.31425482
COOL_LOCN,R.V. Burgess Park,46 THORNCLIFFE PARK DR,43.70374226,-79.34394368
COOL_LOCN,Earlscourt Park,1200 LANSDOWNE AVE,43.673568,-79.451702
COOL_LOCN,Howard Talbot Park,635 EGLINTON AVE,43.71021557,-79.37374964
COOL_LOCN,Regent Park Community Health Centre,"Adelaide Resource Centre for Women, 3rd Fl 67 Adelaide St E  Toronto  ON  M5C 1K6",43.650986,-79.375299
COOL_LOCN,Woodbine Park,1695 QUEEN ST,43.66387937,-79.31310326
COOL_LOCN,Centennial Recreation Centre - Scarborough,1967 ELLESMERE RD,43.774614,-79.236814
COOL_LOCN,Massey Harris Park,945 KING ST,43.64138465,-79.41353321
COOL_LOCN,Annette Community Recreation Centre,333 ANNETTE ST,43.661273,-79.474259
COOL_LOCN,Gamble Park,150 GAMBLE AVE,43.69105336,-79.3472191
COOL_LOCN,Leaside Memorial Gardens Swimming Pool - Indoor Pool,1073 MILLWOOD RD,43.701891,-79.360991
COOL_LOCN,Beaches Recreation Centre,6 WILLIAMSON RD,43.673955,-79.298821
COOL_LOCN,Blantyre Park,180 FALLINGBROOK RD,43.683009,-79.280892
COOL_LOCN,Wychwood Barns Park,76 WYCHWOOD AVE,43.67948542,-79.42390968
COOL_LOCN,Bedford Park Community Centre,81 RANLEIGH AVE,43.728173,-79.399908
COOL_LOCN,Douglas Snow Aquatic Centre,5100 YONGE ST,43.767245,-79.41477
COOL_LOCN,Joyce Trimmer Park,8450 SHEPPARD AVE,43.80555456,-79.18975833
COOL_LOCN,Alexandra Park,275 BATHURST ST,43.651152,-79.404958
COOL_LOCN,Amesbury Park,151 CULFORD RD,43.70613216,-79.48361864
COOL_LOCN,Driftwood Community Recreation Centre,4401 JANE ST,43.765384,-79.518764
