neighborhood_name,centroid_lat,centroid_lon,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic
20,43.59536865112036,-79.54144022137542,24,3,249,16,11,2,0,9,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
19,43.59094150069888,-79.53932111815395,24,3,224,16,10,2,0,9,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
20,43.60173220720786,-79.5418653622176,26,3,307,17,11,2,0,11,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
159,43.61555331654476,-79.54457093095873,36,4,480,21,14,2,0,19,1,0,4,1,1,1,0,1,0,2,0,0,0,0,0
20,43.61061443079523,-79.54380502628914,32,3,398,22,13,2,0,14,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
159,43.62129515922253,-79.54602359603396,36,5,503,22,17,2,0,17,1,0,4,1,1,1,0,1,0,2,0,0,0,0,0
159,43.62958519473343,-79.54844587959957,33,3,544,28,12,1,0,15,1,0,4,0,1,1,0,1,0,2,0,0,0,0,0
158,43.63404685030281,-79.54741929393825,29,3,578,32,11,1,0,16,1,0,4,0,1,1,0,1,0,2,0,0,0,0,0
158,43.64085811123721,-79.55018182985032,29,3,554,31,10,1,0,15,1,0,5,0,1,1,0,1,0,1,0,0,0,0,0
158,43.65063958724454,-79.5522609467585,31,4,542,34,12,1,0,14,1,0,5,0,1,1,0,0,0,1,0,0,0,0,0
158,43.65649069289116,-79.55342810940832,32,4,540,35,13,0,0,11,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0
11,43.660093404534045,-79.5580471457209,28,4,538,33,11,0,0,9,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0
10,43.66178949836933,-79.55338007451705,32,4,567,39,13,0,0,11,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0
11,43.666773833136126,-79.56025698638511,27,3,548,31,9,1,0,9,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0
10,43.670416131987686,-79.55618010280473,33,3,584,35,10,1,0,10,3,0,8,0,0,0,0,0,0,1,0,0,0,0,0
10,43.6754143203317,-79.55732093341008,30,3,545,32,8,1,0,8,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0
7,43.68025679544332,-79.55857074433364,30,5,542,28,10,1,0,15,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0
6,43.68577735275563,-79.55469320583492,29,4,553,27,6,1,1,20,3,0,6,0,2,2,0,1,0,0,0,0,0,0,0
7,43.68897125706946,-79.56097099888855,30,4,539,21,6,1,0,18,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0
6,43.69277652776868,-79.55908528866962,33,4,562,24,8,1,0,18,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0
6,43.69784860375921,-79.56107158031232,33,4,543,24,8,1,0,17,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0
1,43.70133972879788,-79.56432957661539,33,4,545,24,10,1,0,19,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0
4,43.713489144433474,-79.5639713517113,43,6,585,26,15,1,0,20,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0
1,43.7086045824316,-79.56486861649825,40,5,575,27,13,1,0,18,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0
4,43.71953504459604,-79.56601403462444,44,4,588,25,14,1,0,16,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
1,43.71717899272181,-79.57045169816364,42,4,577,26,11,1,0,13,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
4,43.728552980667686,-79.56913691241529,46,5,575,26,14,1,0,13,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0
3,43.733042754319214,-79.56589950827676,47,5,556,24,14,1,0,13,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0
1,43.72377866685156,-79.57272500743255,49,6,548,25,16,1,0,14,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
