location,type,lat,lon
Iroquois Park,Washroom Building,43.80330444,-79.2679759
Esther Lorrie Park,Washroom Building,43.72796429,-79.5814883
Don Valley Golf Course,Washroom Building,43.748852,-79.40839876
Scarlett Woods Golf Course,Washroom Building,43.68352759,-79.50013258
Skymark Park,Portable Toilet,43.79473127,-79.35590976
Withrow Park,Portable Toilet,43.67545479,-79.34670396
Toronto Music Garden,Portable Toilet,43.63669511,-79.39607283
Neilson Park Scarborough,Portable Toilet,43.81446287,-79.22510669
Queen's Park,Portable Toilet,43.66373728,-79.39084977
Fergy Brown Park,Portable Toilet,43.68740498,-79.49682612
Greenwood Park,Portable Toilet,43.66898393,-79.32994971
Lee Lifeson Art Park,Portable Toilet,43.76897017,-79.40967074
Little Norway Park,Portable Toilet,43.63396835,-79.3985431
Marilyn Bell Park,Portable Toilet,43.63365775,-79.43856434
McCleary Park,Portable Toilet,43.65378534,-79.33979491
Monarch Park,Portable Toilet,43.67835184,-79.32439832
Morningside Park,Portable Toilet,43.77914452,-79.19540869
Earlscourt Park,Portable Toilet,43.672102,-79.44983188
Campbell Avenue Park,Portable Toilet,43.66296065,-79.44859834
Christie Pits Park,Portable Toilet,43.66468574,-79.4204095
Dovercourt Park,Portable Toilet,43.66470679,-79.43329308
Norwood Park,Portable Toilet,43.68229992,-79.30439679
Dufferin Grove Park,Portable Toilet,43.65644367,-79.43253543
Dufferin Grove Park,Portable Toilet,43.65680174,-79.43347151
Cruickshank Park,Portable Toilet,43.69964538,-79.52061987
Masseygrove Park,Portable Toilet,43.7340826,-79.58874859
Pelmo Park,Portable Toilet,43.71417541,-79.51886757
Scarlett Mills Park,Portable Toilet,43.67808332,-79.50987448
Sorauren Avenue Park,Portable Toilet,43.64812748,-79.44295613
Brookbanks Park,Portable Toilet,43.75857804,-79.32188882
Downsview Dells Park,Portable Toilet,43.74188848,-79.49617522
G Ross Lord Park,Portable Toilet,43.77790962,-79.4677543
Rennie Park,Portable Toilet,43.64362482,-79.47392472
Magwood Park,Portable Toilet,43.65844432,-79.49807866
Wallace C. Swanek Park,Portable Toilet,43.70853488,-79.52222885
Amesbury Park,Portable Toilet,43.70737978,-79.48097092
Sir Casimir Gzowski Park,Portable Toilet,43.63531278,-79.46622096
Woodbine Beach Park,Portable Toilet,43.66302455,-79.30928434
Port Union Village Common Park,Portable Toilet,43.77665836,-79.13507576
Milliken Park,Portable Toilet,43.83022255,-79.2713769
HTO Park,Portable Toilet,43.638175,-79.38852682
Humberline Park,Portable Toilet,43.73157086,-79.61576089
Dufferin Grove Park,Portable Toilet,43.65529485,-79.43259444
Eglinton Flats,Portable Toilet,43.68448298,-79.49480537
Esther Lorrie Park,Portable Toilet,43.72728781,-79.57948887
Cherry Beach Clarke Beach Park,Portable Toilet,43.63695575,-79.34435387
Crawford - Jones Memorial Park,Portable Toilet,43.7107094,-79.53866132
Balmy Beach Park,Portable Toilet,43.67043423,-79.28426455
Adams Park,Portable Toilet,43.79239373,-79.14495013
Ashbridges Bay Park,Portable Toilet,43.65990497,-79.3107883
Regent Park Athletic Grounds,Washroom Building,43.65866908,-79.35945084
Dieppe Park,Washroom Building,43.69209505,-79.33606541
Hodgson Public School,Washroom Building,43.7014217,-79.38600396
Albert Campbell Square,Washroom Building,43.77342197,-79.25781595
Giovanni Caboto Rink and Pool,Washroom Building,43.67556711,-79.45218224
Nathan Phillips Square,Washroom Building,43.65219533,-79.38394221
Woodbine Park,Washroom Building,43.664857,-79.31221235
Jean Sibelius Square,Washroom Building,43.67160318,-79.40921897
Milliken Park,Washroom Building,43.83006636,-79.27186228
Rowntree Mills Park,Portable Toilet,43.75244219,-79.57881136
Toronto Islands - Hanlan's Point,Washroom Building,43.62743736,-79.3892846
James Gardens,Washroom Building,43.67159902,-79.51476269
Harryetta Gardens,Portable Toilet,43.78175499,-79.45095603
Weston Lions Park,Portable Toilet,43.69819117,-79.51859123
Smythe Park,Portable Toilet,43.6746858,-79.49694931
Silver Creek Park,Portable Toilet,43.68186857,-79.54520052
Pine Point Park,Portable Toilet,43.71419417,-79.54075007
High Park Zoo,Portable Toilet,43.64272229,-79.46069511
High Park,Portable Toilet,43.64599902,-79.4647257
Coronation Park - York,Portable Toilet,43.69168412,-79.47991562
Allan Gardens,Portable Toilet,43.66146375,-79.3749963
Pine Point Park Outdoor Pool,Washroom Building,43.71246639,-79.54460023
Ledbury Park,Washroom Building,43.72708517,-79.42510701
Kiwanis Outdoor Pool,Washroom Building,43.69851074,-79.31606631
Alex Duff Memorial Pool,Washroom Building,43.6649184,-79.42196319
Alderwood Centre,Washroom Building,43.60169472,-79.54712907
Horner Avenue Seniors Centre,Washroom Building,43.60629033,-79.52681305
Rosedale Park,Washroom Building,43.6832752,-79.37921192
L'Amoreaux Tennis Centre,Washroom Building,43.80670329,-79.305011
North Kipling Community Centre,Washroom Building,43.75219778,-79.58449924
Riverdale Farm,Washroom Building,43.66715773,-79.36162569
Kew Beach Lawn Bowling Club,Washroom Building,43.66657292,-79.29730372
Humber Valley Golf Course,Washroom Building,43.72706999,-79.54559982
Tam O'Shanter Golf Course,Washroom Building,43.7864092,-79.29934705
York Recreation Centre ,Washroom Building,43.68787291,-79.48203456
West Rouge Community Centre,Washroom Building,43.79211318,-79.12515474
West Acres Seniors Centre,Washroom Building,43.72571478,-79.57192209
Wellesley Community Centre,Washroom Building,43.66770086,-79.37455603
Warden Hilltop Community Centre,Washroom Building,43.71474757,-79.28036179
Wallace Emerson Community Recreation Centre,Washroom Building,43.66733689,-79.43931464
Victoria Village Recreation Centre and Arena,Washroom Building,43.72329627,-79.31555292
Trace Manes Park Community Centre,Washroom Building,43.70558055,-79.36729827
Thistletown Community Centre,Washroom Building,43.73538993,-79.5624017
Swansea Community Recreation Centre,Washroom Building,43.64397994,-79.47710078
Stephen Leacock Seniors Community Centre,Washroom Building,43.78666961,-79.30254849
Stephen Leacock Community Recreation Centre,Washroom Building,43.78760383,-79.30156696
St. Lawrence Community Recreation Centre,Washroom Building,43.64975912,-79.36494802
