count,lat,lon,metadata,start_timestamp
2,43.65135346,-79.49062927,Kings Mill Park,Aug-21
6,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Aug-21
0,43.63977468,-79.42245532,Lamport Stadium Park,Aug-21
10,43.69741478,-79.35386848,Lower Don Parklands,Aug-21
2,43.78090037,-79.19730417,Morningside Park,Aug-21
25,43.65558614,-79.37043073,Moss Park,Aug-21
6,43.68179447,-79.4101068,Nordheimer Ravine,Aug-21
4,43.65465987,-79.3627258,Orphan's Green,Aug-21
3,43.64235304,-79.42916125,Parkdale Ampitheatre,Aug-21
18,43.6497993,-79.40084238,Randy Padmore Park,Aug-21
8,43.67272549,-79.37625428,Rosedale Ravine Lands,Aug-21
3,43.65602246,-79.40202754,Sonya's Park,Aug-21
0,43.6512055,-79.32159,Tommy Thompson Park,Aug-21
0,43.64592207,-79.41417386,Trinity Bellwoods Park,Aug-21
2,43.65472242,-79.38160967,Trinity Square,Aug-21
0,43.65114655,-79.40510438,Alexandra Park,Sep-21
8,43.66093307,-79.3735941,Allan Gardens,Sep-21
9,43.65371478,-79.40192832,Bellevue Square Park,Sep-21
4,43.71337581,-79.46549418,Caledonia Park,Sep-21
9,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Sep-21
2,43.64418139,-79.39371522,Clarence Square Park,Sep-21
30,43.65699352,-79.4336308,Dufferin Grove Park,Sep-21
2,43.78030615,-79.46585598,G. Ross Lord Park,Sep-21
4,43.63806493,-79.40717673,Garrison Common,Sep-21
8,43.65261301,-79.39221132,Grange Park,Sep-21
2,43.65135346,-79.49062927,Kings Mill Park,Sep-21
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Sep-21
0,43.63977468,-79.42245532,Lamport Stadium Park,Sep-21
10,43.69741478,-79.35386848,Lower Don Parklands,Sep-21
2,43.78090037,-79.19730417,Morningside Park,Sep-21
14,43.65558614,-79.37043073,Moss Park,Sep-21
6,43.68179447,-79.4101068,Nordheimer Ravine,Sep-21
3,43.65465987,-79.3627258,Orphan's Green,Sep-21
2,43.64235304,-79.42916125,Parkdale Ampitheatre,Sep-21
18,43.6497993,-79.40084238,Randy Padmore Park,Sep-21
8,43.67272549,-79.37625428,Rosedale Ravine Lands,Sep-21
5,43.65602246,-79.40202754,Sonya's Park,Sep-21
1,43.6512055,-79.32159,Tommy Thompson Park,Sep-21
0,43.64592207,-79.41417386,Trinity Bellwoods Park,Sep-21
0,43.65472242,-79.38160967,Trinity Square,Sep-21
0,43.65114655,-79.40510438,Alexandra Park,Oct-21
15,43.66093307,-79.3735941,Allan Gardens,Oct-21
12,43.65371478,-79.40192832,Bellevue Square Park,Oct-21
4,43.71337581,-79.46549418,Caledonia Park,Oct-21
8,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Oct-21
2,43.64418139,-79.39371522,Clarence Square Park,Oct-21
24,43.65699352,-79.4336308,Dufferin Grove Park,Oct-21
1,43.78030615,-79.46585598,G. Ross Lord Park,Oct-21
3,43.63806493,-79.40717673,Garrison Common,Oct-21
7,43.65261301,-79.39221132,Grange Park,Oct-21
2,43.65135346,-79.49062927,Kings Mill Park,Oct-21
1,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Oct-21
